match_id,balls_per_over,team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,bowl_out,reserve_umpire,event,match_number,method,eliminator,toss_uncontested
1328476,6,Kenya,Nepal,male,2022,2022-08-28,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,bat,G Malla,IO Oyieko,R D'Mello,NA,D Angara,Nepal,NA,4,NA,NA,J Karuri,Nepal tour of Kenya,3,NA,NA,NA
1328477,6,Kenya,Nepal,male,2022,2022-08-29,"Gymkhana Club Ground, Nairobi",Nairobi,Kenya,bat,SO Ngoche,J Karuri,Shantilal Patel,NA,D Angara,Kenya,7,NA,NA,NA,Nicholas Otieno,Nepal tour of Kenya,4,NA,NA,NA
1328478,6,Nepal,Kenya,male,2022,2022-08-30,"Gymkhana Club Ground, Nairobi",Nairobi,Nepal,bat,G Malla,D Odhiambo,Nicholas Otieno,NA,D Angara,Nepal,31,NA,NA,NA,Y Kaparo,Nepal tour of Kenya,5,NA,NA,NA
1327269,6,Sri Lanka,Afghanistan,male,2022,2022-08-27,Dubai International Cricket Stadium,Dubai,Afghanistan,field,Fazalhaq Farooqi,Ahsan Raza,AK Chaudhary,J Madanagopal,JJ Crowe,Afghanistan,NA,8,NA,NA,Asif Yaqoob,Asia Cup,1,NA,NA,NA
1327270,6,Pakistan,India,male,2022,2022-08-28,Dubai International Cricket Stadium,Dubai,India,field,HH Pandya,Masudur Rahman,RSA Palliyaguruge,RR Wimalasiri,JJ Crowe,India,NA,5,NA,NA,Gazi Sohel,Asia Cup,2,NA,NA,NA
1327271,6,Bangladesh,Afghanistan,male,2022,2022-08-30,Sharjah Cricket Stadium,Sharjah,Bangladesh,bat,Mujeeb Ur Rahman,Asif Yaqoob,J Madanagopal,AK Chaudhary,JJ Crowe,Afghanistan,NA,7,NA,NA,Ahsan Raza,Asia Cup,3,NA,NA,NA
1327272,6,India,Hong Kong,male,2022,2022-08-31,Dubai International Cricket Stadium,Dubai,Hong Kong,field,SA Yadav,Ahsan Raza,Gazi Sohel,Asif Yaqoob,JJ Crowe,India,40,NA,NA,NA,Ahmed Shah Pakteen,Asia Cup,4,NA,NA,NA
1327273,6,Bangladesh,Sri Lanka,male,2022,2022-09-01,Dubai International Cricket Stadium,Dubai,Sri Lanka,field,BKG Mendis,Ahmed Shah Pakteen,AK Chaudhary,Bismillah Shinwari,JJ Crowe,Sri Lanka,NA,2,NA,NA,J Madanagopal,Asia Cup,5,NA,NA,NA
1327274,6,Pakistan,Hong Kong,male,2022,2022-09-02,Sharjah Cricket Stadium,Sharjah,Hong Kong,field,Mohammad Rizwan,RR Wimalasiri,RSA Palliyaguruge,Masudur Rahman,JJ Crowe,Pakistan,155,NA,NA,NA,Bismillah Shinwari,Asia Cup,6,NA,NA,NA
1327275,6,Afghanistan,Sri Lanka,male,2022,2022-09-03,Sharjah Cricket Stadium,Sharjah,Sri Lanka,field,Rahmanullah Gurbaz,Ahsan Raza,Gazi Sohel,AK Chaudhary,AJ Pycroft,Sri Lanka,NA,4,NA,NA,Asif Yaqoob,Asia Cup,7,NA,NA,NA
